,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Vance,Zebulon,,sen,NC,Democrat,V000021,,411117,
,Vilas,William,M,sen,WI,Democrat,V000099,,411154,
,Voorhees,Daniel,M,sen,IN,Democrat,V000116,,411170,
,Warwick,John,M,rep,OH,Democrat,W000169,,411342,
,Wheeler,Harrison,,rep,MI,Democrat,W000336,,411498,
,White,Edward,M,sen,LA,Democrat,W000366,,411528,
,White,Frederick,M,rep,IA,Democrat,W000369,,411530,
,Wike,Scott,,rep,IL,Democrat,W000451,,411608,
,Willcox,Washington,,rep,CT,Democrat,W000480,,411637,
,Williams,Archibald,M,rep,NC,Democrat,W000489,,411646,
,Williams,George,M,rep,MA,Democrat,W000497,,411654,
,Wilson,John,M,rep,KY,Republican,W000601,,411756,
,Wilson,Robert,M,rep,MO,Democrat,W000611,,411766,
,Winn,Thomas,M,rep,GA,Democrat,W000638,,411792,
,Youmans,Henry,M,rep,MI,Democrat,Y000027,,411961,
,Hill,David,M,sen,NY,Democrat,H000590,,405452,
,Hunton,Eppa,,sen,VA,Democrat,H000999,,405839,
,Mills,Roger,M,sen,TX,Democrat,M000777,,407755,
,Perkins,Bishop,,sen,KS,Republican,P000228,,408631,
,Adams,Silas,,rep,KY,Republican,A000047,,400708,
,Alderson,John,M,rep,WV,Democrat,A000080,,400739,
,Alexander,Sydenham,,rep,NC,Democrat,A000102,,400760,
,Arnold,Marshall,,rep,MO,Democrat,A000292,,400934,
,Baldwin,Melvin,,rep,MN,Democrat,B000094,,401096,
,Barnes,Lyman,,rep,WI,Democrat,B000159,,401161,
,Barwig,Charles,M,rep,WI,Democrat,B000218,,401215,
,Beckner,William,M,rep,KY,Democrat,B000294,,401287,
,Beltzhoover,Frank,M,rep,PA,Democrat,B000355,,401347,
,Black,John,M,rep,IL,Democrat,B000504,,401483,
,Blair,Henry,M,rep,NH,Republican,B000524,,401500,
,Boen,Haldor,,rep,MN,Populist,B000590,,401558,
,Bower,William,M,rep,NC,Democrat,B000688,,401650,
,Branch,William,M,rep,NC,Democrat,B000765,,401724,
,Bratton,Robert,M,rep,MD,Democrat,B000773,,401732,
,Brawley,William,M,rep,SC,Democrat,B000775,,401734,
,Breckinridge,Clifton,,rep,AR,Democrat,B000784,,401742,
,Breckinridge,William,M,rep,KY,Democrat,B000790,,401747,
,Bretz,John,M,rep,IN,Democrat,B000807,,401764,
,Brickner,George,M,rep,WI,Democrat,B000821,,401778,
,Brookshire,Elijah,M,rep,IN,Democrat,B000886,,401843,
,Brown,Jason,,rep,IN,Democrat,B000924,,401879,
,Bryan,William,M,rep,NE,Democrat,B000995,,401946,
,Bundy,Hezekiah,,rep,OH,Republican,B001059,,402006,
,Bunn,Benjamin,M,rep,NC,Democrat,B001062,,402009,
,Burnes,Daniel,M,rep,MO,Democrat,B001115,,402060,
,Bynum,William,M,rep,IN,Democrat,B001205,,402146,
,Cabaniss,Thomas,M,rep,GA,Democrat,C000001,,402163,
,Cadmus,Cornelius,M,rep,NJ,Democrat,C000010,,402172,
,Caldwell,John,M,rep,OH,Republican,C000034,,402195,
,Camden,Johnson,,sen,WV,Democrat,C000062,,402220,
,Caminetti,Anthony,M,rep,CA,Democrat,C000069,,402227,
,Campbell,Timothy,M,rep,NY,Democrat,C000103,,402256,
,Cannon,Marion,,rep,CA,Populist,C000122,,402273,
,Capehart,James,M,rep,WV,Democrat,C000129,,402279,
,Caruth,Asher,,rep,KY,Democrat,C000208,,402354,
,Causey,John,M,rep,DE,Democrat,C000257,,402401,
,Childs,Robert,M,rep,IL,Republican,C000354,,402493,
,Chipman,John,M,rep,MI,Democrat,C000367,,402506,
,Clancy,John,M,rep,NY,Democrat,C000410,,402549,
,Coffeen,Henry,M,rep,WY,Democrat,C000585,,402714,
,Compton,Barnes,,rep,MD,Democrat,C000660,,402787,
,Conn,Charles,M,rep,IN,Democrat,C000683,,402809,
,Coombs,William,M,rep,NY,Democrat,C000742,,402863,
,Cooper,George,M,rep,IN,Democrat,C000750,,402871,
,Cornish,Johnston,,rep,NJ,Democrat,C000786,,402906,
,Covert,James,M,rep,NY,Democrat,C000814,,402932,
,Davis,John,M,rep,KS,Populist,D000115,,403252,
,De Forest,Robert,M,rep,CT,Democrat,D000190,,403302,
,Denson,William,M,rep,AL,Democrat,D000253,,403391,
,Donovan,Dennis,,rep,OH,Democrat,D000420,,403533,
,Dunn,John,M,rep,NJ,Democrat,D000550,,403657,
,Dunphy,Edward,M,rep,NY,Democrat,D000556,,403663,
,Durborow,Allan,,rep,IL,Democrat,D000564,,403667,
,Edmunds,Paul,M,rep,VA,Democrat,E000057,,403752,
,Ellis,William,M,rep,KY,Democrat,E000139,,403830,
,English,Thomas,M,rep,NJ,Democrat,E000188,,403876,
,English,Warren,M,rep,CA,Democrat,E000189,,403877,
,Enloe,Benjamin,M,rep,TN,Democrat,E000192,,403880,
,Enochs,William,M,rep,OH,Republican,E000193,,403881,
,Epes,James,M,rep,VA,Democrat,E000195,,403882,
,Everett,William,M,rep,MA,Democrat,E000269,,403948,
,Faulkner,Charles,M,sen,WV,Democrat,F000045,,404005,
,Fellows,John,M,rep,NY,Democrat,F000067,,404025,
,Fielder,George,M,rep,NJ,Democrat,F000109,,404066,
,Fitch,Ashbel,,rep,NY,Democrat,F000157,,404112,
,Fithian,George,M,rep,IL,Democrat,F000162,,404117,
,Forman,William,M,rep,IL,Democrat,F000275,,404225,
,Funk,Benjamin,M,rep,IL,Republican,F000427,,404368,
,Funston,Edward,M,rep,KS,Republican,F000429,,404370,
,Fyan,Robert,M,rep,MO,Democrat,F000436,,404377,
,Geary,Thomas,M,rep,CA,Democrat,G000113,,404485,
,Geissenhainer,Jacob,M,rep,NJ,Democrat,G000119,,404491,
,George,James,M,sen,MS,Democrat,G000127,,404497,
,Goldzier,Julius,,rep,IL,Democrat,G000269,,404631,
,Goodnight,Isaac,M,rep,KY,Democrat,G000292,,404651,
,Gorman,James,M,rep,MI,Democrat,G000328,,404686,
,Grady,Benjamin,M,rep,NC,Democrat,G000350,,404706,
,Graham,John,M,rep,NY,Democrat,G000358,,404713,
,Gray,George,M,sen,DE,Democrat,G000396,,404746,
,Gresham,Walter,M,rep,TX,Democrat,G000452,,404798,
,Griffin,Levi,,rep,MI,Democrat,G000463,,404808,
,Haines,Charles,M,rep,NY,Democrat,H000025,,404910,
,Hall,Osee,,rep,MN,Democrat,H000065,,404950,
,Hammond,Thomas,M,rep,IN,Democrat,H000134,,405016,
,Hare,Darius,,rep,OH,Democrat,H000201,,405081,
,Harter,Michael,M,rep,OH,Democrat,H000296,,405169,
,Hatch,William,M,rep,MO,Democrat,H000339,,405208,
,Haugen,Nils,,rep,WI,Republican,H000351,,405220,
,Hayes,Walter,M,rep,IA,Democrat,H000394,,405262,
,Heard,John,M,rep,MO,Democrat,H000427,,405293,
,Henderson,John,M,rep,NC,Democrat,H000485,,405348,
,Henderson,Thomas,M,rep,IL,Republican,H000489,,405352,
,Hendrix,Joseph,M,rep,NY,Democrat,H000496,,405359,
,Henry,Winder,,rep,MD,Democrat,H000521,,405384,
,Hines,William,M,rep,PA,Democrat,H000635,,405491,
,Hopkins,Albert,M,rep,PA,Republican,H000769,,405619,
,Houk,George,M,rep,OH,Democrat,H000816,,405663,
,Houk,John,M,rep,TN,Republican,H000817,,405664,
,Hudson,Thomas,M,rep,KS,Populist,H000909,,405755,
,Ikirt,George,M,rep,OH,Democrat,I000008,,405870,
,Izlar,James,M,rep,SC,Democrat,I000054,,405908,
,Johnson,Tom,,rep,OH,Democrat,J000178,,406073,
,Jorden,Edwin,M,rep,PA,Republican,J000270,,406162,
,Joseph,Antonio,,rep,NM,Democrat,J000272,,406164,
,Kilgore,Constantine,,rep,TX,Democrat,K000173,,406336,
,Kribbs,George,M,rep,PA,Democrat,K000330,,406484,
,Lane,Edward,M,rep,IL,Democrat,L000058,,406567,
,Lapham,Oscar,M,rep,RI,Democrat,L000093,,406601,
,Lilly,William,M,rep,PA,Republican,L000312,,406806,
,Lisle,Marcus,,rep,KY,Democrat,L000345,,406837,
,Lockwood,Daniel,M,rep,NY,Democrat,L000392,,406884,
,Lucas,William,M,rep,SD,Republican,L000495,,406982,
,Lynch,Thomas,M,rep,WI,Democrat,L000534,,407019,
,Magner,Thomas,M,rep,NY,Democrat,M000051,,407079,
,Marshall,James,M,rep,VA,Democrat,M000156,,407178,
,Martin,Augustus,M,rep,IN,Democrat,M000167,,407189,
,Martin,John,M,sen,KS,Democrat,M000185,,407206,
,Marvin,Francis,,rep,NY,Republican,M000209,,407228,
,McDannold,John,M,rep,IL,Democrat,M000401,,407402,
,McDowell,Alexander,M,rep,PA,Republican,M000417,,407417,
,McEttrick,Michael,M,rep,MA,Ind. Democrat,M000430,,407430,
,McKaig,William,M,rep,MD,Democrat,M000488,,407483,
,McKeighan,William,M,rep,NE,Populist,M000498,,407493,
,McNagny,William,M,rep,IN,Democrat,M000580,,407571,
,Mitchell,John,M,sen,WI,Democrat,M000821,,407796,
,Montgomery,Alexander,M,rep,KY,Democrat,M000863,,407836,
,Moon,John,M,rep,MI,Republican,M000885,,407857,
,Moore,Horace,,rep,KS,Democrat,M000901,,407873,
,Murphy,Edward,M,sen,NY,Democrat,M001090,,408054,
,Mutchler,William,M,rep,PA,Democrat,M001125,,408087,
,O'Ferrall,Charles,M,rep,VA,Democrat,O000040,,408284,
,O'Neil,Joseph,M,rep,MA,Democrat,O000092,,408301,
,O'Neill,Charles,M,rep,PA,Republican,O000093,,408302,
,O'Neill,John,M,rep,MO,Democrat,O000097,,408306,
,Oates,William,M,rep,AL,Democrat,O000005,,408317,
,Outhwaite,Joseph,M,rep,OH,Democrat,O000136,,408388,
,Page,Charles,M,rep,RI,Democrat,P000015,,408426,
,Paschal,Thomas,M,rep,TX,Democrat,P000094,,408504,
,Pasco,Samuel,M,sen,FL,Democrat,P000095,,408505,
,Pearson,Albert,M,rep,OH,Democrat,P000164,,408569,
,Pence,Lafayette,,rep,CO,Populist,P000199,,408602,
,Pendleton,John,M,rep,WV,Democrat,P000205,,408608,
,Pigott,James,M,rep,CT,Democrat,P000344,,408741,
,Randall,Charles,M,rep,MA,Republican,R000037,,409018,
,Reilly,James,M,rep,PA,Democrat,R000153,,409130,
,Richards,James,M,rep,OH,Democrat,R000213,,409189,
,Richardson,George,M,rep,MI,Democrat,R000220,,409196,
,Ritchie,Byron,,rep,OH,Democrat,R000272,,409246,
,Roach,William,M,sen,ND,Democrat,R000290,,409263,
,Ryan,William,M,rep,NY,Democrat,R000561,,409517,
,Schermerhorn,Simon,,rep,NY,Democrat,S000123,,409631,
,Shaw,George,M,rep,WI,Republican,S000305,,409803,
,Shell,George,M,rep,SC,Democrat,S000324,,409821,
,Sherman,John,M,sen,OH,Republican,S000346,,409842,
,Sickles,Daniel,M,rep,NY,Democrat,S000402,,409896,
,Sipe,William,M,rep,PA,Democrat,S000451,,409944,
,Smith,James,M,sen,NJ,Democrat,S000561,,410043,
,Snodgrass,Henry,M,rep,TN,Democrat,S000655,,410129,
,Somers,Peter,M,rep,WI,Democrat,S000677,,410149,
,Sperry,Lewis,M,rep,CT,Democrat,S000732,,410201,
,Springer,William,M,rep,IL,Democrat,S000757,,410224,
,Stevens,Moses,M,rep,MA,Democrat,S000884,,410346,
,Stockbridge,Francis,,sen,MI,Republican,S000932,,410391,
,Stockdale,Thomas,M,rep,MS,Democrat,S000934,,410393,
,Stone,William,M,rep,KY,Democrat,S000969,,410428,
,Storer,Bellamy,,rep,OH,Republican,S000970,,410430,
,Straus,Isidor,,rep,NY,Democrat,S001000,,410458,
,Sweet,Willis,,rep,ID,Republican,S001110,,410562,
,Taylor,Alfred,M,rep,TN,Republican,T000064,,410650,
,Taylor,Arthur,M,rep,IN,Democrat,T000065,,410651,
,Tracey,Charles,M,rep,NY,Democrat,T000341,,410912,
,Turpie,David,M,sen,IN,Democrat,T000432,,411000,
,Turpin,Louis,M,rep,AL,Democrat,T000434,,411002,
,Van Voorhis,John,M,rep,NY,Republican,V000063,,411105,
,Warner,John,M,rep,NY,Democrat,W000153,,411327,
,Waugh,Daniel,M,rep,IN,Republican,W000214,,411383,
,Weadock,Thomas,M,rep,MI,Democrat,W000219,,411387,
,Wells,Owen,,rep,WI,Democrat,W000286,,411451,
,Wever,John,M,rep,NY,Republican,W000313,,411477,
,Wheeler,Hamilton,,rep,IL,Republican,W000335,,411497,
,White,Stephen,M,sen,CA,Democrat,W000394,,411554,
,White,William,M,rep,OH,Republican,W000398,,411558,
,Whiting,Justin,,rep,MI,Democrat,W000415,,411574,
,Wilson,William,M,rep,WV,Democrat,W000623,,411777,
,Wise,George,M,rep,VA,Democrat,W000648,,411802,
,Wolverton,Simon,,rep,PA,Democrat,W000685,,411837,
,Wright,Myron,,rep,PA,Republican,W000767,,411916,
,Blanchard,Newton,,sen,LA,Democrat,B000541,,401516,
,Jarvis,Thomas,M,sen,NC,Democrat,J000063,,405968,
,Patton,John,M,sen,MI,Republican,P000141,,408547,
,Walsh,Patrick,M,sen,GA,Democrat,W000103,,411281,
,Abbott,Jo,,rep,TX,Democrat,A000005,,400667,
,Aitken,David,M,rep,MI,Republican,A000068,,400728,
,Aldrich,James,M,rep,IL,Republican,A000082,,400741,
,Aldrich,Truman,,rep,AL,Republican,A000085,,400744,
,Allen,Clarence,,rep,UT,Republican,A000117,,400774,
,Anderson,William,M,rep,TN,Republican,A000238,,400866,
,Apsley,Lewis,M,rep,MA,Republican,A000271,,400910,
,Arnold,Warren,M,rep,RI,Republican,A000298,,400940,
,Atwood,Harrison,,rep,MA,Republican,A000336,,400985,
,Avery,John,M,rep,MI,Republican,A000346,,400996,
,Baker,Henry,M,rep,NH,Republican,B000061,,401065,
,Baker,Lucien,,sen,KS,Republican,B000070,,401073,
,Baker,William,M,rep,KS,Populist,B000075,,401078,
,Bartlett,Franklin,M,rep,NY,Democrat,B000202,,401201,
,Bell,Charles,M,rep,TX,Democrat,B000333,,401325,
,Black,Frank,M,rep,NY,Republican,B000496,,401476,
,Black,James,M,rep,GA,Democrat,B000502,,401482,
,Blue,Richard,M,rep,KS,Republican,B000573,,401546,
,Boatner,Charles,M,rep,LA,Democrat,B000580,,401551,
,Bowers,William,M,rep,CA,Republican,B000692,,401654,
,Brown,Foster,,rep,TN,Republican,B000915,,401871,
,Buck,Charles,M,rep,LA,Democrat,B001012,,401962,
,Burrell,Orlando,,rep,IL,Republican,B001136,,402079,
,Burton,Charles,M,rep,MO,Republican,B001147,,402090,
,Butler,Marion,,sen,NC,Populist,B001183,,402125,
,Caffery,Donelson,,sen,LA,Democrat,C000016,,402178,
,Chandler,William,M,sen,NH,Republican,C000298,,402440,
,Chilton,Horace,,sen,TX,Democrat,C000357,,402496,
,Clark,Charles,M,rep,MO,Republican,C000423,,402562,
,Clarke,Richard,M,rep,AL,Democrat,C000469,,402607,
,Cobb,James,M,rep,AL,Democrat,C000549,,402682,
,Cobb,Seth,,rep,MO,Democrat,C000550,,402683,
,Cockrell,Jeremiah,M,rep,TX,Democrat,C000577,,402706,
,Coffin,Charles,M,rep,MD,Republican,C000588,,402717,
,Cogswell,William,M,rep,MA,Republican,C000595,,402724,
,Cook,Samuel,M,rep,WI,Republican,C000726,,402848,
,Cooper,Charles,M,rep,FL,Democrat,C000746,,402867,
,Cowen,John,M,rep,MD,Democrat,C000822,,402940,
,Crain,William,M,rep,TX,Democrat,C000865,,402980,
,Crisp,Charles,M,rep,GA,Democrat,C000908,,403020,
,Crowley,Miles,,rep,TX,Democrat,C000944,,403056,
,Crowther,George,M,rep,MO,Republican,C000949,,403061,
,Culberson,David,M,rep,TX,Democrat,C000964,,403075,
,Curtis,Newton,,rep,NY,Republican,C001012,,403119,
,Daniels,Charles,M,rep,NY,Republican,D000040,,403180,
,De Witt,Francis,,rep,OH,Republican,D000286,,403328,
,Denny,Walter,M,rep,MS,Democrat,D000251,,403389,
,Doolittle,William,M,rep,WA,Republican,D000430,,403541,
,Downing,Finis,,rep,IL,Democrat,D000473,,403582,
,Draper,William,M,rep,MA,Republican,D000488,,403596,
,Ellett,Tazewell,,rep,VA,Democrat,E000117,,403808,
,Erdman,Constantine,,rep,PA,Democrat,E000199,,403886,
,Gear,John,M,sen,IA,Republican,G000110,,404482,
,Goodwyn,Albert,M,rep,AL,Populist,G000305,,404664,
,Griswold,Matthew,M,rep,PA,Republican,G000487,,404832,
,Hadley,William,M,rep,IL,Republican,H000009,,404894,
,Hainer,Eugene,M,rep,NE,Republican,H000024,,404909,
,Hall,Uriel,,rep,MO,Democrat,H000075,,404958,
,Halterman,Frederick,M,rep,PA,Republican,H000093,,404975,
,Hanly,James,M,rep,IN,Republican,H000159,,405041,
,Hardy,Alexander,M,rep,IN,Republican,H000194,,405075,
,Harris,Isham,,sen,TN,Democrat,H000243,,405121,
,Harris,Stephen,M,rep,OH,Republican,H000253,,405131,
,Harrison,George,M,rep,AL,Democrat,H000270,,405146,
,Hart,Joseph,M,rep,PA,Democrat,H000289,,405162,
,Hatch,Jethro,,rep,IN,Republican,H000337,,405207,
,Heiner,Daniel,M,rep,PA,Republican,H000453,,405318,
,Hendrick,John,M,rep,KY,Democrat,H000491,,405354,
,Hopkins,Nathan,M,rep,KY,Republican,H000777,,405627,
,Hubbard,Joel,M,rep,MO,Republican,H000884,,405730,
,Hulick,George,M,rep,OH,Republican,H000937,,405782,
,Huling,James,M,rep,WV,Republican,H000938,,405783,
,Hutcheson,Joseph,M,rep,TX,Democrat,H001007,,405847,
,Hyde,Samuel,M,rep,WA,Republican,H001024,,405860,
,Johnson,Grove,,rep,CA,Republican,J000134,,406033,
,Kem,Omer,,rep,NE,Populist,K000083,,406252,
,Kendall,Joseph,M,rep,KY,Democrat,K000095,,406263,
,Kiefer,Andrew,M,rep,MN,Republican,K000166,,406330,
,Kirkpatrick,Snyder,,rep,KS,Republican,K000238,,406397,
,Kyle,John,M,rep,MS,Democrat,K000354,,406506,
,Lawson,Thomas,M,rep,GA,Democrat,L000146,,406651,
,Layton,Fernando,,rep,OH,Democrat,L000152,,406657,
,Le Fever,Jacob,M,rep,NY,Republican,L000158,,406662,
,Leighty,Jacob,M,rep,IN,Republican,L000233,,406736,
,Leisenring,John,M,rep,PA,Republican,L000235,,406738,
,Leonard,Fred,M,rep,PA,Republican,L000245,,406748,
,Lewis,John,M,rep,KY,Republican,L000288,,406785,
,Lindsay,William,M,sen,KY,Democrat,L000327,,406820,
,Linton,William,M,rep,MI,Republican,L000341,,406834,
,Lockhart,James,M,rep,NC,Democrat,L000391,,406883,
,Mantle,Lee,,sen,MT,Silver Republican,M000116,,407140,
,McBride,George,M,sen,OR,Republican,M000300,,407315,
,McCall,John,M,rep,TN,Republican,M000304,,407318,
,McClure,Addison,,rep,OH,Republican,M000344,,407353,
,McCormick,Richard,M,rep,NY,Republican,M000371,,407376,
,McDearmon,James,M,rep,TN,Democrat,M000402,,407403,
,McGann,Lawrence,M,rep,IL,Democrat,M000441,,407440,
,McKenney,William,M,rep,VA,Democrat,M000502,,407497,
,Meiklejohn,George,M,rep,NE,Republican,M000634,,407621,
,Meredith,Elisha,,rep,VA,Democrat,M000647,,407633,
,Miles,Joshua,M,rep,MD,Democrat,M000706,,407689,
,Miller,Orrin,,rep,KS,Republican,M000749,,407728,
,Milnes,Alfred,M,rep,MI,Republican,M000783,,407761,
,Miner,Henry,M,rep,NY,Democrat,M000792,,407770,
,Morse,Elijah,M,rep,MA,Republican,M001007,,407974,
,Moses,Charles,M,rep,GA,Democrat,M001027,,407994,
,Mozley,Norman,,rep,MO,Republican,M001056,,408022,
,Murphy,Everett,,rep,IL,Republican,M001091,,408055,
,Murphy,Nathan,M,rep,AZ,Republican,M001102,,408066,
,Murray,George,M,rep,SC,Republican,M001106,,408070,
,Neill,Robert,M,rep,AR,Democrat,N000025,,408117,
,Noonan,George,M,rep,TX,Republican,N000131,,408215,
,Owens,William,M,rep,KY,Democrat,O000161,,408411,
,Patterson,Josiah,M,rep,TN,Democrat,P000124,,408532,
,Pendleton,George,M,rep,TX,Democrat,P000202,,408605,
,Pettigrew,Richard,M,sen,SD,Silver Republican,P000271,,408671,
,Phillips,Thomas,M,rep,PA,Republican,P000313,,408712,
,Pickler,John,M,rep,SD,Republican,P000329,,408726,
,Poole,Theodore,M,rep,NY,Republican,P000429,,408820,
,Post,Philip,M,rep,IL,Republican,P000457,,408844,
,Price,Andrew,M,rep,LA,Democrat,P000521,,408906,
,Raney,John,M,rep,MO,Republican,R000052,,409033,
,Remann,Frederick,M,rep,IL,Republican,R000161,,409138,
,Rinaker,John,M,rep,IL,Republican,R000261,,409236,
,Robinson,John,M,rep,PA,Republican,R000342,,409313,
,Rusk,Harry,M,rep,MD,Democrat,R000516,,409474,
,Russell,Benjamin,M,rep,GA,Democrat,R000520,,409478,
,Scranton,Joseph,M,rep,PA,Republican,S000192,,409697,
,Settle,Thomas,M,rep,NC,Republican,S000253,,409755,
,Sewell,William,M,sen,NJ,Republican,S000262,,409763,
,Shaw,John,M,rep,NC,Democrat,S000309,,409807,
,Shoup,George,M,sen,ID,Republican,S000382,,409876,
,Sorg,Paul,M,rep,OH,Democrat,S000679,,410151,
,Spencer,James,M,rep,MS,Democrat,S000726,,410195,
,Stahle,James,M,rep,PA,Republican,S000780,,410246,
,Stephenson,Samuel,M,rep,MI,Republican,S000865,,410327,
,Strong,Luther,M,rep,OH,Republican,S001014,,410471,
,Taft,Charles,M,rep,OH,Republican,T000007,,410597,
,Tarsney,John,M,rep,MO,Democrat,T000043,,410631,
,Thomas,Henry,M,rep,MI,Republican,T000168,,410749,
,Thurston,John,M,sen,NE,Republican,T000256,,410831,
,Tracewell,Robert,M,rep,IN,Republican,T000340,,410911,
,Tracey,John,M,rep,MO,Republican,T000342,,410913,
,Treloar,William,M,rep,MO,Republican,T000363,,410933,
,Turner,Henry,M,rep,GA,Democrat,T000421,,410990,
,Turner,Smith,,rep,VA,Democrat,T000427,,410995,
,Tyler,David,M,rep,VA,Democrat,T000448,,411016,
,Van Horn,Robert,M,rep,MO,Republican,V000042,,411087,
,Walsh,James,M,rep,NY,Democrat,W000098,,411277,
,Walthall,Edward,M,sen,MS,Democrat,W000111,,411289,
,Washington,Joseph,M,rep,TN,Democrat,W000181,,411354,
,Watson,David,M,rep,OH,Republican,W000200,,411371,
,Willis,Jonathan,M,rep,DE,Republican,W000562,,411718,
,Wilson,George,M,rep,OH,Republican,W000583,,411738,
,Wilson,John,M,sen,WA,Republican,W000602,,411757,
,Wolcott,Edward,M,sen,CO,Republican,W000667,,411820,
,Wood,Benson,,rep,IL,Republican,W000691,,411843,
,Woodard,Frederick,M,rep,NC,Democrat,W000707,,411859,
,Woodman,Charles,M,rep,IL,Republican,W000715,,411867,
,Woomer,Ephraim,,rep,PA,Republican,W000739,,411889,
,Yoakum,Charles,M,rep,TX,Democrat,Y000018,,411952,
,Brown,Arthur,M,sen,UT,Republican,B000902,,401859,
,Cannon,Frank,M,sen,UT,Silver Republican,C000118,,402269,
,McKinley,William,M,rep,OH,Republican,M000522,,407515,
,Arnold,William,M,rep,PA,Republican,A000299,,400941,
,Baker,Jehu,,rep,IL,Democrat,B000066,,401070,
,Barber,Isaac,M,rep,MD,Republican,B000121,,401122,
,Barlow,Charles,M,rep,CA,Populist,B000149,,401151,
,Barrett,William,M,rep,MA,Republican,B000180,,401179,
,Barrows,Samuel,M,rep,MA,Republican,B000186,,401185,
,Beach,Clifton,,rep,OH,Republican,B000262,,401256,
,Belden,James,M,rep,NY,Republican,B000325,,401317,
,Belford,Joseph,M,rep,NY,Republican,B000327,,401319,
,Belknap,Hugh,M,rep,IL,Republican,B000329,,401321,
,Benner,George,M,rep,PA,Democrat,B000366,,401358,
,Bennett,Charles,M,rep,NY,Republican,B000372,,401364,
,Bodine,Robert,M,rep,MO,Democrat,B000584,,401554,
,Booze,William,M,rep,MD,Republican,B000633,,401598,
,Botkin,Jeremiah,M,rep,KS,Populist,B000654,,401617,
,Brewster,Henry,M,rep,NY,Republican,B000815,,401772,
,Broderick,Case,,rep,KS,Republican,B000856,,401813,
,Brucker,Ferdinand,,rep,MI,Democrat,B000973,,401925,
,Callahan,James,M,rep,OK,Free Silver,C000053,,402212,
,Campbell,James,M,rep,IL,Democrat,C000089,,402245,
,Castle,Curtis,,rep,CA,Populist,C000241,,402386,
,Clardy,John,M,rep,KY,Democrat,C000415,,402554,
,Clark,Samuel,M,rep,IA,Republican,C000452,,402590,
,Codding,James,M,rep,PA,Republican,C000580,,402709,
,Colson,David,M,rep,KY,Republican,C000649,,402777,
,Connolly,James,M,rep,IL,Republican,C000697,,402822,
,Cooke,Edward,M,rep,IL,Republican,C000731,,402853,
,Cranford,John,M,rep,TX,Democrat,C000876,,402989,
,Curtis,George,M,rep,IA,Republican,C001010,,403117,
,Davison,George,M,rep,KY,Republican,D000144,,403277,
,Deboe,William,M,sen,KY,Republican,D000182,,403343,
,Dockery,Alexander,M,rep,MO,Democrat,D000384,,403500,
,Dorr,Charles,M,rep,WV,Republican,D000436,,403546,
,Earle,Joseph,M,sen,SC,Democrat,E000009,,403705,
,Evans,Walter,M,rep,KY,Republican,E000260,,403941,
,Fenton,Lucien,,rep,OH,Republican,F000076,,404034,
,Fischer,Israel,,rep,NY,Republican,F000138,,404093,
,Foote,Wallace,,rep,NY,Republican,F000252,,404206,
,Fowler,John,M,rep,NC,Populist,F000323,,404272,
,Griffin,Michael,M,rep,WI,Republican,G000464,,404809,
,Gunn,James,M,rep,ID,Populist,G000525,,404871,
,Hager,Alva,,rep,IA,Republican,H000015,,404900,
,Handy,Levin,,rep,DE,Democrat,H000156,,405038,
,Harris,William,M,sen,KS,Populist,H000258,,405135,
,Hartman,Charles,M,rep,MT,Silver Republican,H000300,,405173,
,Heitfeld,Henry,M,sen,ID,Democrat,H000458,,405323,
,Henry,Charles,M,rep,IN,Republican,H000503,,405366,
,Hicks,Josiah,M,rep,PA,Republican,H000565,,405427,
,Hilborn,Samuel,M,rep,CA,Republican,H000583,,405445,
,Hinrichsen,William,M,rep,IL,Democrat,H000637,,405492,
,Holman,William,M,rep,IN,Democrat,H000732,,405583,
,Howard,Milford,,rep,AL,Populist,H000843,,405690,
,Howe,James,M,rep,NY,Republican,H000852,,405699,
,Hunter,Andrew,M,rep,IL,Democrat,H000980,,405824,
,Hurley,Denis,,rep,NY,Republican,H001004,,405844,
,Johnson,Henry,M,rep,IN,Republican,J000138,,406037,
,Jones,James,M,sen,AR,Democrat,J000231,,406124,
,Jones,John,M,sen,NV,Republican,J000237,,406130,
,Jones,William,M,rep,WA,Silver Republican,J000260,,406152,
,Kelley,John,M,rep,SD,Populist,K000060,,406230,
,Kenney,Richard,M,sen,DE,Democrat,K000121,,406287,
,Kirkpatrick,William,M,rep,PA,Republican,K000241,,406400,
,Knowles,Freeman,,rep,SD,Populist,K000293,,406449,
,Kulp,Monroe,,rep,PA,Republican,K000338,,406491,
,Kyle,James,M,sen,SD,Republican,K000353,,406505,
,Love,William,M,rep,MS,Democrat,L000461,,406950,
,Low,Philip,M,rep,NY,Republican,L000471,,406960,
,Maguire,James,M,rep,CA,Democrat,M000059,,407087,
,Mahany,Rowland,,rep,NY,Republican,M000062,,407090,
,Marshall,George,M,rep,OH,Democrat,M000153,,407175,
,Martin,Charles,M,rep,NC,Populist,M000172,,407194,
,Maxwell,Samuel,M,rep,NE,Populist,M000270,,407288,
,McCormick,Nelson,,rep,KS,Populist,M000370,,407375,
,McDonald,John,M,rep,MD,Republican,M000411,,407411,
,McEwan,Thomas,M,rep,NJ,Republican,M000431,,407431,
,McIntire,William,M,rep,MD,Republican,M000480,,407477,
,McLaurin,John,M,sen,SC,Democrat,M000543,,407535,
