,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Eggleston,Joseph,M,rep,VA,Republican,E000091,,403784,
,Evans,Thomas,M,rep,VA,Federalist,E000257,,412146,
,Freeman,Jonathan,M,rep,NH,Federalist,F000364,,404310,
,Gallatin,Albert,M,rep,PA,Republican,G000020,,404397,
,Glen,Henry,M,rep,NY,Federalist,G000235,,404597,
,Goode,Samuel,M,rep,VA,Republican,G000279,,404641,
,Goodrich,Elizur,,rep,CT,Federalist,G000294,,404653,
,Gordon,William,M,rep,NH,Federalist,G000318,,404675,
,Greene,Ray,,sen,RI,Federalist,G000427,,404775,
,Hartley,Thomas,M,rep,PA,Federalist,H000299,,405172,
,Havens,Jonathan,M,rep,NY,Republican,H000359,,405228,
,Imlay,James,M,rep,NJ,Federalist,I000011,,405873,
,Jones,James,M,rep,GA,Federalist,J000227,,412060,
,Kittera,John,M,rep,PA,Federalist,K000253,,406412,
,Lee,Henry,M,rep,VA,Federalist,L000195,,406698,
,Linn,James,M,rep,NJ,Republican,L000336,,406829,
,Livermore,Samuel,M,sen,NH,Federalist,L000364,,406856,
,Lyman,Samuel,M,rep,MA,Federalist,L000528,,407012,
,Marshall,John,M,rep,VA,Federalist,M000157,,407179,
,McMillan,William,M,rep,OH,,M000571,,407563,
,Nicholas,John,M,rep,VA,Republican,N000084,,412171,
,Nott,Abraham,M,rep,SC,Federalist,N000161,,408242,
,Page,Robert,M,rep,VA,Federalist,P000021,,408432,
,Parker,Josiah,M,rep,VA,Federalist,P000065,,408475,
,Pinckney,Thomas,M,rep,SC,Federalist,P000357,,408754,
,Platt,Jonas,,rep,NY,Federalist,P000381,,408775,
,Powell,Leven,,rep,VA,Federalist,P000482,,408867,
,Reed,John,M,rep,MA,Federalist,R000120,,409100,
,Sedgwick,Theodore,M,rep,MA,Federalist,S000222,,409727,
,Sewall,Samuel,M,rep,MA,Federalist,S000259,,409760,
,Spaight,Richard,M,rep,NC,Republican,S000693,,410164,
,Thatcher,George,M,rep,MA,Federalist,T000141,,410723,
,Thomas,John,M,rep,MD,Federalist,T000173,,410754,
,Thomas,Richard,M,rep,PA,Federalist,T000183,,410764,
,Waln,Robert,M,rep,PA,Federalist,W000094,,411273,
,Foster,Dwight,,sen,MA,Federalist,F000301,,404250,
,Hindman,William,M,sen,MD,Federalist,H000629,,405486,
,Morris,Gouverneur,,sen,NY,Federalist,M000976,,407944,
,Bacon,John,M,rep,MA,Republican,B000017,,401022,
,Bird,John,M,rep,NY,Federalist,B000477,,401458,
,Boude,Thomas,M,rep,PA,Federalist,B000660,,401622,
,Breckinridge,John,M,sen,KY,Republican,B000787,,401744,
,Cabell,Samuel,M,rep,VA,Republican,C000005,,402167,
,Colhoun,John,M,sen,SC,Republican,C000627,,402756,
,Davis,Thomas,M,rep,KY,Republican,D000138,,412031,
,Ellery,Christopher,M,sen,RI,Republican,E000114,,403805,
,Elmendorf,Lucas,,rep,NY,Republican,E000153,,403844,
,Fearing,Paul,M,rep,OH,Federalist,F000054,,404014,
,Foster,Abiel,,rep,NH,Federalist,F000297,,404246,
,Greene,Thomas,M,rep,MS,,G000428,,404776,
,Grove,William,M,rep,NC,Federalist,G000502,,404847,
,Henderson,Archibald,M,rep,NC,Federalist,H000475,,405338,
,Hill,William,M,rep,NC,Federalist,H000611,,405470,
,Hunter,Narsworthy,,rep,MS,,H000986,,412054,
,Jackson,George,M,rep,VA,Republican,J000012,,405919,
,Jackson,James,M,sen,GA,Republican,J000017,,405923,
,Johnson,Charles,M,rep,NC,Republican,J000123,,412057,
,Jones,William,M,rep,PA,Republican,J000258,,406150,
,Lee,Silas,,rep,MA,Federalist,L000204,,406707,
,Lincoln,Levi,,rep,MA,Republican,L000316,,406809,
,Logan,George,M,sen,PA,Republican,L000401,,406892,
,Mattoon,Ebenezer,M,rep,MA,Federalist,M000259,,407277,
,Morris,Lewis,M,rep,VT,Federalist,M000983,,407951,
,Morris,Thomas,M,rep,NY,Federalist,M000988,,407956,
,Muhlenberg,John,M,sen,PA,Democratic Republican,M001066,,408032,
,Ogden,Aaron,M,sen,NJ,Federalist,O000041,,408324,
,Olcott,Simeon,,sen,NH,Federalist,O000060,,408335,
,Peirce,Joseph,M,rep,NH,Federalist,P000190,,408594,
,Perkins,Elias,,rep,CT,Federalist,P000231,,408634,
,Read,Nathan,M,rep,MA,Federalist,R000093,,409073,
,Rutledge,John,M,rep,SC,Federalist,R000553,,409509,
,Sheafe,James,M,sen,NH,Federalist,S000312,,409810,
,Shepard,William,M,rep,MA,Federalist,S000330,,409827,
,Smith,Josiah,M,rep,MA,Republican,S000582,,410063,
,Sprigg,"Richard,",,rep,MD,Republican,S000752,,412180,
,Stratton,John,M,rep,VA,Federalist,S000994,,410452,
,Taliaferro,Benjamin,M,rep,GA,Republican,T000025,,410614,
,Tillinghast,Thomas,M,rep,RI,Republican,T000273,,410846,
,Tracy,Uriah,,sen,CT,Federalist,T000348,,410919,
,Upham,George,M,rep,NH,Federalist,U000022,,411045,
,Van Ness,John,M,rep,NY,Republican,V000049,,411091,
,Walker,Benjamin,M,rep,NY,Federalist,W000046,,411226,
,Williams,Robert,M,rep,NC,Republican,W000534,,412118,
,Woods,Henry,M,rep,PA,Federalist,W000722,,411874,
,Butler,Pierce,,sen,SC,Republican,B001186,,402128,
,Clinton,De,,sen,NY,Republican,C000525,,402659,
,Plumer,William,M,sen,NH,Federalist,P000393,,408787,
,Bailey,Theodorus,,sen,NY,Republican,B000049,,401054,
,Baldwin,Simeon,,rep,CT,Federalist,B000097,,401099,
,Bowie,Walter,M,rep,MD,Republican,B000697,,401659,
,Bruce,Phineas,,rep,MA,Federalist,B000970,,401922,
,Claiborne,Thomas,M,rep,VA,Republican,C000406,,402545,
,Cutler,Manasseh,,rep,MA,Federalist,C001026,,403133,
,Dennis,John,M,rep,MD,Federalist,D000243,,403381,
,Dwight,Thomas,M,rep,MA,Federalist,D000583,,403686,
,Earle,John,M,rep,SC,Republican,E000008,,403704,
,Gillespie,James,M,rep,NC,Republican,G000196,,412152,
,Griffin,Thomas,M,rep,VA,Federalist,G000467,,404812,
,Griswold,Gaylord,,rep,NY,Federalist,G000482,,404827,
,Hammond,Samuel,M,rep,GA,Republican,H000133,,405015,
,Hampton,Wade,,rep,SC,Republican,H000140,,405022,
,Hiester,Daniel,M,rep,MD,Republican,H000570,,405432,
,Hoge,John,M,rep,PA,Republican,H000695,,405548,
,Hunt,Samuel,M,rep,NH,Federalist,H000976,,405820,
,Larned,Simon,,rep,MA,Republican,L000097,,406604,
,Lewis,Thomas,M,rep,VA,Federalist,L000294,,412064,
,Lowndes,Thomas,M,rep,SC,Federalist,L000482,,406970,
,Maclay,Samuel,M,sen,PA,Republican,M000029,,407057,
,McCord,Andrew,M,rep,NY,Republican,M000359,,412166,
,Mitchell,Nahum,,rep,MA,Federalist,M000824,,407799,
,Mott,James,M,rep,NJ,Republican,M001039,,408006,
,Palmer,Beriah,,rep,NY,Republican,P000036,,408446,
,Paterson,John,M,rep,NY,Republican,P000101,,408509,
,Phelps,Oliver,M,rep,NY,Republican,P000298,,408698,
,Plater,Thomas,M,rep,MD,Federalist,P000378,,408772,
,Potter,Samuel,M,sen,RI,Republican,P000468,,408854,
,Purviance,Samuel,M,rep,NC,Federalist,P000577,,408960,
,Skinner,Thomson,,rep,MA,Republican,S000471,,409961,
,Smith,Israel,,sen,VT,Republican,S000557,,410039,
,Smith,John,M,sen,OH,Republican,S000567,,410048,
,Stewart,John,M,rep,PA,Republican,S000912,,412107,
,Thatcher,Samuel,M,rep,MA,Federalist,T000143,,410725,
,Tibbits,George,M,rep,NY,Federalist,T000262,,410836,
,Trigg,John,M,rep,VA,Republican,T000370,,410939,
,Van Horne,Isaac,M,rep,PA,Republican,V000045,,411089,
,Venable,Abraham,M,sen,VA,Republican,V000083,,411139,
,White,Samuel,M,sen,DE,Federalist,W000392,,411552,
,Williams,Lemuel,,rep,MA,Federalist,W000526,,411683,
,Armstrong,John,M,sen,NY,Republican,A000282,,400922,
,Howland,Benjamin,M,sen,RI,Republican,H000870,,405717,
,Moore,Andrew,M,sen,VA,Republican,M000891,,407863,
,Alexander,Nathaniel,M,rep,NC,Republican,A000100,,400758,
,Anderson,Isaac,M,rep,PA,Republican,A000191,,400846,
,Archer,John,M,rep,MD,Republican,A000272,,400911,
,Baldwin,Abraham,M,sen,GA,Republican,B000084,,401086,
,Bedinger,George,M,rep,KY,Republican,B000301,,401294,
,Betton,Silas,,rep,NH,Federalist,B000425,,401411,
,Bishop,Phanuel,,rep,MA,Republican,B000488,,401469,
,Bryan,Joseph,M,rep,GA,Republican,B000989,,401941,
,Casey,Levi,,rep,SC,Republican,C000226,,412140,
,Clark,Christopher,M,rep,VA,Republican,C000424,,402563,
,Conrad,Frederick,M,rep,PA,Republican,C000704,,402829,
,Covington,Leonard,M,rep,MD,Republican,C000817,,402935,
,Dickson,William,M,rep,TN,Republican,D000333,,403451,
,Dwight,Theodore,M,rep,CT,Federalist,D000582,,403685,
,Early,Peter,M,rep,GA,Republican,E000014,,403710,
,Ellis,Caleb,,rep,NH,Federalist,E000130,,403821,
,Elmer,Ebenezer,M,rep,NJ,Republican,E000154,,403845,
,Fenner,James,M,sen,RI,Republican,F000074,,404032,
,Fowler,John,M,rep,KY,Republican,F000322,,404271,
,Goddard,Calvin,,rep,CT,Federalist,G000248,,404610,
,Griswold,Roger,M,rep,CT,Federalist,G000488,,404833,
,Halsey,Silas,,rep,NY,Republican,H000090,,404972,
,Hamilton,John,M,rep,PA,Republican,H000111,,404993,
,Hanna,John,M,rep,PA,Republican,H000161,,405043,
,Hastings,Seth,,rep,MA,Federalist,H000331,,405201,
,Hough,David,M,rep,NH,Federalist,H000811,,405659,
,Kitchell,Aaron,M,sen,NJ,Republican,K000246,,406405,
,Livingston,Henry,M,rep,NY,Federalist,L000367,,406859,
,Lower,Christian,,rep,PA,Republican,L000478,,406967,
,Lucas,John,M,rep,PA,Republican,L000492,,406979,
,Magruder,Patrick,M,rep,MD,Republican,M000057,,407085,
,McFarlan,Duncan,,rep,NC,Republican,M000437,,412074,
,Mead,Cowles,,rep,GA,Republican,M000614,,407603,
,Meriwether,David,M,rep,GA,Republican,M000649,,407635,
,Nicholson,Joseph,M,rep,MD,Republican,N000100,,408185,
,Olin,Gideon,,rep,VT,Republican,O000067,,408340,
,Randolph,Thomas,M,rep,VA,Republican,R000051,,409032,
,Sailly,Peter,M,rep,NY,Republican,S000015,,409535,
,Sandford,Thomas,M,rep,KY,Republican,S000041,,409557,
,Schuneman,Martin,M,rep,NY,Republican,S000149,,409656,
,Smith,Daniel,M,sen,TN,Republican,S000524,,410007,
,Smith,John,M,rep,CT,Federalist,S000570,,410052,
,Smith,O'Brien,,rep,SC,Republican,S000598,,412179,
,Spalding,Thomas,M,rep,GA,Republican,S000698,,410169,
,Stanton,Joseph,M,rep,RI,Republican,S000805,,410271,
